Entity,Code,AvgTemp,CountryID,"Forest Area, 1990","Forest Area, 2000","Forest Area, 2010","Forest Area, 2015",Forest_2020,Land_2020,PropForest_2020,"Deforestation, 2015-2020","Total Forest Area Affected by Fire, 2015"
Switzerland,CHE,6.6846513750000005,756,1153.5,1196.18,1234.72,1251.91,1269.11,3952,32.11,1.34,0.02
Syria,SYR,20.064734708333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tajikistan,TJK,0.005644633333333353,762,408,410,410,421.8,423.8,13879,3.05,...,...
Tanzania,TZA,22.933606583333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Thailand,THA,27.004931666666668,764,19361,18998,20073,20061,19873,51089,38.9,37.6,16.58
Togo,TGO,27.425826166666667,768,1361.66,1268.46,1238.87,1224.07,1209.27,5439,22.23,4.96,...
Trinidad and Tobago,TTO,26.494140416666667,780,242.06,236.65,232.41,230.29,228.19,513,44.48,...,1.5
Tunisia,TUN,20.85957775,788,643.98,667.85,687.43,695.08,702.73,15536,4.52,0.57,5.04
Turkey,TUR,12.792026705,792,19783.48,20148.35,21083.08,21630.3,22220.36,76963,28.87,1.17,3.22
Turkmenistan,TKM,16.462751808333334,795,4127,4127,4127,4127,4127,46993,8.78,...,...
Uganda,UGA,23.171006583333334,800,3575.47,3162.95,2750.42,2544.16,2337.9,20052,11.66,51.09,...
Ukraine,UKR,10.760084541666666,804,9274,9510,9548,9657,9690,57929,16.73,0.1,14.7
United Arab Emirates,ARE,28.58340108333333,784,245,309.43,317.3,317.3,317.3,7102,4.47,...,...
United Kingdom,GBR,9.900754075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
United States,USA,10.273097868333332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
United States Virgin Islands,VIR,26.711263083333332,850,24.54,20.47,18.43,19.16,19.91,35,56.89,...,...
Uruguay,URY,17.60806983333333,858,798,1369,1731.3,1920,2031,17502,11.6,...,...
Uzbekistan,UZB,13.465741079166667,860,2549.37,2961.46,3349.6,3549.4,3689.66,42540,8.67,14.15,0.17
Vanuatu,VUT,25.271980083333332,548,442.3,442.3,442.3,442.3,442.3,1219,36.28,...,...
Venezuela,VEN,25.976387416666668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vietnam,VNM,24.412868333333332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
World,OWID_WRL,14.803611166666666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Yemen,YEM,25.859893583333335,887,549,549,549,549,549,52797,1.04,...,...
Zambia,ZMB,22.167939166666667,894,47412,47054,46696,45755.1,44814.03,74339,60.28,189.71,15077
Zimbabwe,ZWE,21.785587,716,18826.68,18365.98,17905.28,17674.93,17444.58,38685,45.09,46.07,2830
